what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1340754524421
error,log,,,"An error occurred while computing quick assists. Check log for details.",1340754524521
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction",1340754524571
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340754593101
opened,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.JavadocView",1340754593541
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340754594861
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1340754633356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754642227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754646748
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1340754650998
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.debug.ui.togglebreakpoint/org.eclipse.wst.jsdt.debug.ui.RulerToggleBreakpoint",1340754651028
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1340754651068
error,log,,,"Unexpected runtime error while computing a text hover",1340754653788
error,log,,,"An internal error occurred during: ""Requesting JavaScript AST from selection"".",1340754776749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754776819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754782630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340754797682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340754804282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340754807263
error,log,,,"Unexpected runtime error while computing a text hover",1340754837627
error,log,,,"An internal error occurred during: ""Requesting JavaScript AST from selection"".",1340754846068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754846088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754849629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340754870022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754875053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340754881918
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction",1340754934944
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction",1340754935444
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction",1340754936254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340754949676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340754951286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340754952196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755009204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755131911
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340755185938
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340755188758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755192089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755218483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340755317583
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1340755319193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755321704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755350238
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340755350308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340755598134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755691191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340755735219
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1340755745030
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340755746450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340755748901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340755749461
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.debug.ui.togglebreakpoint/org.eclipse.wst.jsdt.debug.ui.RulerToggleBreakpoint",1340755855523
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.debug.ui.togglebreakpoint/org.eclipse.wst.jsdt.debug.ui.RulerToggleBreakpoint",1340755855983
